"";"row.psx";"col.psx";"rep";"block";"geno_id";"rowNum";"colNum";"plotId";"unit";"old_unit";"new_unit"
"314";2;10;4;2;"Exp_60_Empty";10;4;"c4r10";"B-1001:10:1";"B-2-10";"27:10:2"
"315";1;11;4;2;"Exp_60_Empty";11;3;"c3r11";"B-1:11:1";"B-1-11";"27:11:1"
"316";2;11;4;2;"Exp_60_Empty";11;4;"c4r11";"B-1001:11:1";"B-2-11";"27:11:2"
"317";1;12;4;2;"Exp_60_Empty";12;3;"c3r12";"B-1:12:1";"B-1-12";"27:12:1"
"318";2;12;4;2;"Exp_60_Empty";12;4;"c4r12";"B-1001:12:1";"B-2-12";"27:12:2"
"319";1;1;4;8;"Exp60_42_IS4112";1;3;"c3r1";"B-1:1:1";"B-1-1";"27:1:1"
"320";2;1;4;8;"Exp60_75_IS9586";1;4;"c4r1";"B-1001:1:1";"B-2-1";"27:1:2"
"321";1;2;4;8;"Exp60_53_IS5972";2;3;"c3r2";"B-1:2:1";"B-1-2";"27:2:1"
"322";2;2;4;8;"Exp60_5_IS929";2;4;"c4r2";"B-1001:2:1";"B-2-2";"27:2:2"
"323";1;3;4;8;"Exp60_280_IS31195";3;3;"c3r3";"B-1:3:1";"B-1-3";"27:3:1"
"324";2;3;4;8;"Exp60_32_IS3583";3;4;"c4r3";"B-1001:3:1";"B-2-3";"27:3:2"
"325";1;4;4;8;"Exp60_6_IS1127";4;3;"c3r4";"B-1:4:1";"B-1-4";"27:4:1"
"326";2;4;4;8;"Exp60_97_IS13452";4;4;"c4r4";"B-1001:4:1";"B-2-4";"27:4:2"
"327";1;5;4;1;"Exp_60_Empty";5;3;"c3r5";"B-1:5:1";"B-1-5";"27:5:1"
"328";2;5;4;1;"Exp_60_Empty";5;4;"c4r5";"B-1001:5:1";"B-2-5";"27:5:2"
"329";1;6;4;1;"Exp_60_Empty";6;3;"c3r6";"B-1:6:1";"B-1-6";"27:6:1"
"330";2;6;4;1;"Exp_60_Empty";6;4;"c4r6";"B-1001:6:1";"B-2-6";"27:6:2"
"331";1;7;4;1;"Exp_60_Empty";7;3;"c3r7";"B-1:7:1";"B-1-7";"27:7:1"
"332";2;7;4;1;"Exp_60_Empty";7;4;"c4r7";"B-1001:7:1";"B-2-7";"27:7:2"
"333";1;8;4;1;"Exp_60_Empty";8;3;"c3r8";"B-1:8:1";"B-1-8";"27:8:1"
"334";2;8;4;1;"Exp_60_Empty";8;4;"c4r8";"B-1001:8:1";"B-2-8";"27:8:2"
"335";1;9;4;1;"Exp_60_Empty";9;3;"c3r9";"B-1:9:1";"B-1-9";"27:9:1"
"336";2;9;4;1;"Exp_60_Empty";9;4;"c4r9";"B-1001:9:1";"B-2-9";"27:9:2"
"337";3;10;1;2;"Exp60_55_IS6193";10;5;"c5r10";"C-1:10:1";"C-1-10";"53:10:1"
"338";4;10;1;2;"Exp60_53_IS5972";10;6;"c6r10";"C-1001:10:1";"C-2-10";"53:10:2"
"339";3;11;1;3;"Exp60_102_IS13989";11;5;"c5r11";"C-1:11:1";"C-1-11";"53:11:1"
"340";4;11;1;3;"Exp60_16_IS2430";11;6;"c6r11";"C-1001:11:1";"C-2-11";"53:11:2"
"341";3;12;1;3;"Exp60_97_IS13452";12;5;"c5r12";"C-1:12:1";"C-1-12";"53:12:1"
"342";4;12;1;3;"Exp60_284_IS31559";12;6;"c6r12";"C-1001:12:1";"C-2-12";"53:12:2"
"343";3;1;1;1;"Exp60_10_IS2221";1;5;"c5r1";"C-1:1:1";"C-1-1";"53:1:1"
"344";4;1;1;1;"Exp60_296_IS33178";1;6;"c6r1";"C-1001:1:1";"C-2-1";"53:1:2"
"345";3;2;1;1;"Exp60_244_IS27587";2;5;"c5r2";"C-1:2:1";"C-1-2";"53:2:1"
"346";4;2;1;1;"Exp60_249_IS28991";2;6;"c6r2";"C-1001:2:1";"C-2-2";"53:2:2"
"347";3;3;1;1;"Exp60_197_IS22632";3;5;"c5r3";"C-1:3:1";"C-1-3";"53:3:1"
"348";4;3;1;1;"Exp60_137_IS18835";3;6;"c6r3";"C-1001:3:1";"C-2-3";"53:3:2"
"349";3;4;1;1;"Exp60_233_IS25733";4;5;"c5r4";"C-1:4:1";"C-1-4";"53:4:1"
"350";4;4;1;1;"Exp60_297_IS33209";4;6;"c6r4";"C-1001:4:1";"C-2-4";"53:4:2"
"351";3;5;1;1;"Exp60_3_IS303";5;5;"c5r5";"C-1:5:1";"C-1-5";"53:5:1"
"352";4;5;1;1;"Exp60_126_IS16044";5;6;"c6r5";"C-1001:5:1";"C-2-5";"53:5:2"
"353";3;6;1;2;"Exp60_17_IS2678";6;5;"c5r6";"C-1:6:1";"C-1-6";"53:6:1"
"354";4;6;1;2;"Exp60_194_IS22334";6;6;"c6r6";"C-1001:6:1";"C-2-6";"53:6:2"
"355";3;7;1;2;"Exp60_269_IS30417";7;5;"c5r7";"C-1:7:1";"C-1-7";"53:7:1"
"356";4;7;1;2;"Exp60_234_IS25836";7;6;"c6r7";"C-1001:7:1";"C-2-7";"53:7:2"
"357";3;8;1;2;"Exp60_211_IS23666";8;5;"c5r8";"C-1:8:1";"C-1-8";"53:8:1"
"358";4;8;1;2;"Exp60_168_IS20727";8;6;"c6r8";"C-1001:8:1";"C-2-8";"53:8:2"
"359";3;9;1;2;"Exp60_56_IS6351";9;5;"c5r9";"C-1:9:1";"C-1-9";"53:9:1"
"360";4;9;1;2;"Exp60_35_IS3780";9;6;"c6r9";"C-1001:9:1";"C-2-9";"53:9:2"
"361";3;10;1;5;"Exp60_58_IS6718";10;5;"c5r10";"C-1:10:1";"C-1-10";"53:10:1"
"362";4;10;1;5;"Exp60_232_IS25702";10;6;"c6r10";"C-1001:10:1";"C-2-10";"53:10:2"
"363";3;11;1;5;"Exp60_84_IS10882";11;5;"c5r11";"C-1:11:1";"C-1-11";"53:11:1"
"364";4;11;1;5;"Exp60_271_IS30441";11;6;"c6r11";"C-1001:11:1";"C-2-11";"53:11:2"
"365";3;12;1;5;"Exp60_295_IS33173";12;5;"c5r12";"C-1:12:1";"C-1-12";"53:12:1"
"366";4;12;1;5;"Exp60_7_IS1398";12;6;"c6r12";"C-1001:12:1";"C-2-12";"53:12:2"
"367";3;1;1;3;"Exp60_215_IS23948";1;5;"c5r1";"C-1:1:1";"C-1-1";"53:1:1"
