unit;old_unit;Experiment;Treatment;Species;Genotype;G..Alias;Replicates;;;;
135:12:02;135:12:02;EXp60;WW_R2;Sorghum;Exp60_143_IS18922;Exp60_143_IS18922;2;;;;
135:01:01;135:01:01;EXp60;WW_R2;Sorghum;Exp60_223_IS24786;Exp60_223_IS24786;2;;;;
135:01:02;135:01:02;EXp60;WW_R2;Sorghum;Exp60_320_SSM379;Exp60_320_SSM379;2;;;;
135:02:01;135:02:01;EXp60;WW_R2;Sorghum;Exp60_22_IS2834;Exp60_22_IS2834;2;;;;
135:02:02;135:02:02;EXp60;WW_R2;Sorghum;Exp60_174_IS20792;Exp60_174_IS20792;2;;;;
135:03:01;135:03:01;EXp60;WW_R2;Sorghum;Exp60_258_IS29606;Exp60_258_IS29606;2;;;;
135:03:02;135:03:02;EXp60;WW_R2;Sorghum;Exp60_125_IS15752;Exp60_125_IS15752;2;;;;
135:04:01;135:04:01;EXp60;WW_R2;Sorghum;Exp60_6_IS1127;Exp60_6_IS1127;2;;;;
135:04:02;135:04:02;EXp60;WW_R2;Sorghum;Exp60_197_IS22632;Exp60_197_IS22632;2;;;;
135:05:01;135:05:01;EXp60;WW_R2;Sorghum;Exp60_118_R16;Exp60_118_R16;2;;;;
135:05:02;135:05:02;EXp60;WW_R2;Sorghum;Exp60_34_IS3675;Exp60_34_IS3675;2;;;;
135:06:01;135:06:01;EXp60;WW_R2;Sorghum;Exp60_65_IS8218;Exp60_65_IS8218;2;;;;
135:06:02;135:06:02;EXp60;WW_R2;Sorghum;Exp60_58_IS6718;Exp60_58_IS6718;2;;;;
135:07:01;135:07:01;EXp60;WW_R2;Sorghum;Exp60_103_IS14206;Exp60_103_IS14206;2;;;;
135:07:02;135:07:02;EXp60;WW_R2;Sorghum;Exp60_85_IS10897;Exp60_85_IS10897;2;;;;
135:08:01;135:08:01;EXp60;WW_R2;Sorghum;Exp60_296_IS33178;Exp60_296_IS33178;2;;;;
135:08:02;135:08:02;EXp60;WW_R2;Sorghum;Exp60_250_IS29233;Exp60_250_IS29233;2;;;;
135:09:01;135:09:01;EXp60;WW_R2;Sorghum;Exp60_210_IS23645;Exp60_210_IS23645;2;;;;
135:09:02;135:09:02;EXp60;WW_R2;Sorghum;Exp60_72_IS9303;Exp60_72_IS9303;2;;;;
136:10:01;136:10:01;EXp60;WW_R2;Sorghum;Exp60_199_IS22986;Exp60_199_IS22986;2;;;;
136:10:02;136:10:02;EXp60;WW_R2;Sorghum;Exp60_204_IS23142;Exp60_204_IS23142;2;;;;
136:11:01;136:11:01;EXp60;WW_R2;Sorghum;Exp60_297_IS33209;Exp60_297_IS33209;2;;;;
136:11:02;136:11:02;EXp60;WW_R2;Sorghum;Exp60_27_IS3121;Exp60_27_IS3121;2;;;;
136:12:01;136:12:01;EXp60;WW_R2;Sorghum;Exp60_205_IS23166;Exp60_205_IS23166;2;;;;
136:12:02;136:12:02;EXp60;WW_R2;Sorghum;Exp60_265_IS29966;Exp60_265_IS29966;2;;;;
136:01:01;136:01:01;EXp60;WW_R2;Sorghum;Exp60_4_IS602;Exp60_4_IS602;2;;;;
136:01:02;136:01:02;EXp60;WW_R2;Sorghum;Exp60_288_IS32050;Exp60_288_IS32050;2;;;;
136:02:01;136:02:01;EXp60;WW_R2;Sorghum;Exp60_240_IS27146;Exp60_240_IS27146;2;;;;
136:02:02;136:02:02;EXp60;WW_R2;Sorghum;Exp60_165_IS20710;Exp60_165_IS20710;2;;;;
136:03:01;136:03:01;EXp60;WW_R2;Sorghum;Exp60_138_IS18868;Exp60_138_IS18868;2;;;;
136:03:02;136:03:02;EXp60;WW_R2;Sorghum;Exp60_202_IS23053;Exp60_202_IS23053;2;;;;
136:04:01;136:04:01;EXp60;WW_R2;Sorghum;Exp60_248_IS28389;Exp60_248_IS28389;2;;;;
136:04:02;136:04:02;EXp60;WW_R2;Sorghum;Exp60_171_IS20762;Exp60_171_IS20762;2;;;;
136:05:01;136:05:01;EXp60;WW_R2;Sorghum;Exp60_67_IS8347;Exp60_67_IS8347;2;;;;
136:05:02;136:05:02;EXp60;WW_R2;Sorghum;Exp60_286_IS31693;Exp60_286_IS31693;2;;;;
136:06:01;136:06:01;EXp60;WW_R2;Sorghum;Exp60_15_IS2416;Exp60_15_IS2416;2;;;;
136:06:02;136:06:02;EXp60;WW_R2;Sorghum;Exp60_182_IS21849;Exp60_182_IS21849;2;;;;
136:07:01;136:07:01;EXp60;WW_R2;Sorghum;Exp60_300_IS33423;Exp60_300_IS33423;2;;;;
136:07:02;136:07:02;EXp60;WW_R2;Sorghum;Exp60_21_IS2814;Exp60_21_IS2814;2;;;;
136:08:01;136:08:01;EXp60;WW_R2;Sorghum;Exp60_147_IS19132;Exp60_147_IS19132;2;;;;
136:08:02;136:08:02;EXp60;WW_R2;Sorghum;Exp60_268_IS30405;Exp60_268_IS30405;2;;;;
136:09:01;136:09:01;EXp60;WW_R2;Sorghum;Exp60_244_IS27587;Exp60_244_IS27587;2;;;;
136:09:02;136:09:02;EXp60;WW_R2;Sorghum;Exp60_229_IS25301;Exp60_229_IS25301;2;;;;
137:10:01;137:10:01;EXp60;WW_R3;Sorghum;Exp60_204_IS23142;Exp60_204_IS23142;3;;;;
137:10:02;137:10:02;EXp60;WW_R3;Sorghum;Exp60_151_IS19685;Exp60_151_IS19685;3;;;;
137:11:01;137:11:01;EXp60;WW_R3;Sorghum;Exp60_101_IS13926;Exp60_101_IS13926;3;;;;
137:11:02;137:11:02;EXp60;WW_R3;Sorghum;Exp60_231_IS25596;Exp60_231_IS25596;3;;;;
137:12:01;137:12:01;EXp60;WW_R3;Sorghum;Exp60_206_IS23178;Exp60_206_IS23178;3;;;;
137:12:02;137:12:02;EXp60;WW_R3;Sorghum;Exp60_139_IS18874;Exp60_139_IS18874;3;;;;
137:01:01;137:01:01;EXp60;WW_R2;Sorghum;Exp60_35_IS3780;Exp60_35_IS3780;2;;;;
137:01:02;137:01:02;EXp60;WW_R2;Sorghum;Exp60_78_IS9830;Exp60_78_IS9830;2;;;;
137:02:01;137:02:01;EXp60;WW_R2;Sorghum;Exp60_256_IS29496;Exp60_256_IS29496;2;;;;
137:02:02;137:02:02;EXp60;WW_R2;Sorghum;Exp60_54_IS6154;Exp60_54_IS6154;2;;;;
137:03:01;137:03:01;EXp60;WW_R2;Sorghum;Exp60_305_SSM1049;Exp60_305_SSM1049;2;;;;
137:03:02;137:03:02;EXp60;WW_R2;Sorghum;Exp60_181_IS21691;Exp60_181_IS21691;2;;;;
137:04:01;137:04:01;EXp60;WW_R2;Sorghum;Exp60_224_IS24913;Exp60_224_IS24913;2;;;;
137:04:02;137:04:02;EXp60;WW_R2;Sorghum;Exp60_151_IS19685;Exp60_151_IS19685;2;;;;
137:05:01;137:05:01;EXp60;WW_R2;Sorghum;Exp60_68_IS8348;Exp60_68_IS8348;2;;;;
137:05:02;137:05:02;EXp60;WW_R2;Sorghum;Exp60_275_IS30619;Exp60_275_IS30619;2;;;;
137:06:01;137:06:01;EXp60;WW_R2;Sorghum;Exp60_203_IS23100;Exp60_203_IS23100;2;;;;
137:06:02;137:06:02;EXp60;WW_R2;Sorghum;Exp60_28_IS3147;Exp60_28_IS3147;2;;;;
137:07:01;137:07:01;EXp60;WW_R2;Sorghum;Exp60_131_IS16545;Exp60_131_IS16545;2;;;;
137:07:02;137:07:02;EXp60;WW_R2;Sorghum;Exp60_62_IS7277;Exp60_62_IS7277;2;;;;
137:08:01;137:08:01;EXp60;WW_R2;Sorghum;Exp60_146_IS19053;Exp60_146_IS19053;2;;;;
137:08:02;137:08:02;EXp60;WW_R2;Sorghum;Exp60_139_IS18874;Exp60_139_IS18874;2;;;;
137:09:01;137:09:01;EXp60;WW_R3;Sorghum;Exp60_50_IS5720;Exp60_50_IS5720;3;;;;
137:09:02;137:09:02;EXp60;WW_R3;Sorghum;Exp60_227_IS25055;Exp60_227_IS25055;3;;;;
138:10:01;138:10:01;EXp60;WW_R3;Sorghum;Exp60_131_IS16545;Exp60_131_IS16545;3;;;;
138:10:02;138:10:02;EXp60;WW_R3;Sorghum;Exp60_62_IS7277;Exp60_62_IS7277;3;;;;
138:11:01;138:11:01;EXp60;WW_R3;Sorghum;Exp60_79_IS9883;Exp60_79_IS9883;3;;;;
138:11:02;138:11:02;EXp60;WW_R3;Sorghum;Exp60_197_IS22632;Exp60_197_IS22632;3;;;;
138:12:01;138:12:01;EXp60;WW_R3;Sorghum;Exp60_221_IS24503;Exp60_221_IS24503;3;;;;
138:12:02;138:12:02;EXp60;WW_R3;Sorghum;Exp60_196_IS22609;Exp60_196_IS22609;3;;;;
138:01:01;138:01:01;EXp60;WW_R3;Sorghum;Exp60_253_IS29407;Exp60_253_IS29407;3;;;;
138:01:02;138:01:02;EXp60;WW_R3;Sorghum;Exp60_254_IS29409;Exp60_254_IS29409;3;;;;
138:02:01;138:02:01;EXp60;WW_R3;Sorghum;Exp60_247_IS27855;Exp60_247_IS27855;3;;;;
138:02:02;138:02:02;EXp60;WW_R3;Sorghum;Exp60_305_SSM1049;Exp60_305_SSM1049;3;;;;
138:03:01;138:03:01;EXp60;WW_R3;Sorghum;Exp60_13_IS2367;Exp60_13_IS2367;3;;;;
138:03:02;138:03:02;EXp60;WW_R3;Sorghum;Exp60_274_IS30503;Exp60_274_IS30503;3;;;;
138:04:01;138:04:01;EXp60;WW_R3;Sorghum;Exp60_84_IS10882;Exp60_84_IS10882;3;;;;
138:04:02;138:04:02;EXp60;WW_R3;Sorghum;Exp60_16_IS2430;Exp60_16_IS2430;3;;;;
138:05:01;138:05:01;EXp60;WW_R3;Sorghum;Exp60_51_IS5867;Exp60_51_IS5867;3;;;;
138:05:02;138:05:02;EXp60;WW_R3;Sorghum;Exp60_314_SSM205;Exp60_314_SSM205;3;;;;
138:06:01;138:06:01;EXp60;WW_R3;Sorghum;Exp60_262_IS29872;Exp60_262_IS29872;3;;;;
