Date;TS;Temp;RH;VPD;SR;WS;;
25/09/2023;00:15:00;24.9;99.30%;;0;0;;
25/09/2023;00:30:00;24.82;99.30%;;0;0;;
25/09/2023;00:45:00;24.81;99.10%;;0;0;;
25/09/2023;01:00:00;24.78;99.50%;;0;0;;
25/09/2023;01:15:00;24.8;99.50%;;0;0;;
25/09/2023;01:30:00;24.82;99.30%;;0;0;;
25/09/2023;01:45:00;24.74;99.50%;;0;0;;
25/09/2023;02:00:00;24.72;99.60%;;0;0;;
25/09/2023;02:15:00;24.68;99.40%;;0;0;;
25/09/2023;02:30:00;24.67;99.20%;;0;0;;
25/09/2023;02:45:00;24.58;99.20%;;0;0;;
25/09/2023;03:00:00;24.61;99.30%;;0;0;;
25/09/2023;03:15:00;24.6;99.30%;;0;0;;
25/09/2023;03:30:00;24.51;99.40%;;0;0;;
25/09/2023;03:45:00;24.42;99.50%;;0;0;;
25/09/2023;04:00:00;24.29;99.20%;;0;0.113;;
25/09/2023;04:15:00;24.12;99.10%;;0;0;;
25/09/2023;04:30:00;24.06;99.10%;;0;0;;
25/09/2023;04:45:00;23.99;98.90%;;0;0;;
25/09/2023;05:00:00;24.04;99.10%;;0;0;;
25/09/2023;05:15:00;24.06;98.90%;;0;0;;
25/09/2023;05:30:00;24.06;99%;;0;0.075;;
25/09/2023;05:45:00;24.13;99.10%;;0;0;;
25/09/2023;06:00:00;24.09;98.80%;;0;0;;
25/09/2023;06:15:00;24.18;99.10%;;0;0;;
25/09/2023;06:30:00;24.21;98.90%;;0;0;;
25/09/2023;06:45:00;24.16;98.60%;;0;0;;
25/09/2023;07:00:00;24.12;98.40%;;0;0;;
25/09/2023;07:15:00;24.02;98.50%;;0;0;;
25/09/2023;07:30:00;23.95;98.50%;;0;0;;
25/09/2023;07:45:00;23.91;98.60%;;6.706;0;;
25/09/2023;08:00:00;24.01;99.10%;;13.41;0;;
25/09/2023;08:15:00;24.22;99.30%;;20.12;0;;
25/09/2023;08:30:00;24.37;99.20%;;26.82;0;;
25/09/2023;08:45:00;24.48;99.10%;;20.12;0.564;;
25/09/2023;09:00:00;24.49;98.60%;;26.82;0.35;;
25/09/2023;09:15:00;24.66;98.70%;;26.82;0.046;;
25/09/2023;09:30:00;24.75;98%;;20.12;1.2;;
25/09/2023;09:45:00;24.86;97.50%;;40.23;1.468;;
25/09/2023;10:00:00;24.98;96.70%;;26.82;0.322;;
25/09/2023;10:15:00;24.93;96.10%;;33.53;0.194;;
25/09/2023;10:30:00;25.15;96.10%;;87.2;0.745;;
25/09/2023;10:45:00;25.8;95%;;110.9;0.297;;
25/09/2023;11:00:00;26.41;93.30%;;67.04;0.046;;
25/09/2023;11:15:00;26.32;92.40%;;53.4;0.487;;
25/09/2023;11:30:00;26.33;91.40%;;46.92;1.192;;
25/09/2023;11:45:00;26.38;91.70%;;107.3;0.268;;
25/09/2023;12:00:00;26.79;90.90%;;104.7;0.949;;
25/09/2023;12:15:00;27.41;88.60%;;127.4;2.019;;
25/09/2023;12:30:00;27.78;86.80%;;120.7;0;;
25/09/2023;12:45:00;28.17;84.50%;;122.9;1.579;;
25/09/2023;13:00:00;28.89;85.30%;;299.3;1.749;;
25/09/2023;13:15:00;30.26;80.50%;;251.9;0.959;;
25/09/2023;13:30:00;31.36;76.98%;;317;1.351;;
25/09/2023;13:45:00;32.12;73.93%;;334.7;1.864;;
25/09/2023;14:00:00;32.46;69.37%;;163.4;0.746;;
25/09/2023;14:15:00;31.68;72.54%;;142.3;1.333;;
25/09/2023;14:30:00;31.31;72.08%;;113.9;0.985;;
25/09/2023;14:45:00;31.73;71.93%;;221.9;1.847;;
25/09/2023;15:00:00;32.24;68.29%;;99.6;0.694;;
25/09/2023;15:15:00;31.24;70.68%;;40.21;0;;
25/09/2023;15:30:00;30.25;72.46%;;33.5;0;;
25/09/2023;15:45:00;29.82;80.10%;;46.91;1.79;;
25/09/2023;16:00:00;28.86;83.30%;;40.21;1.214;;
25/09/2023;16:15:00;28.48;83.20%;;67.13;0;;
25/09/2023;16:30:00;28.53;83.40%;;138.5;0;;
25/09/2023;16:45:00;29.33;81.60%;;107.2;0;;
25/09/2023;17:00:00;29.29;77.85%;;180;3.685;;
25/09/2023;17:15:00;29.22;78.16%;;80.9;2.218;;
25/09/2023;17:30:00;28.77;77.49%;;73.72;2.203;;
25/09/2023;17:45:00;28.55;77.97%;;40.21;1.888;;
25/09/2023;18:00:00;27.87;80.30%;;40.21;0.786;;
25/09/2023;18:15:00;27.57;79.98%;;33.52;0;;
25/09/2023;18:30:00;27.47;81.80%;;26.81;0;;
25/09/2023;18:45:00;27.39;83.40%;;20.11;0;;
25/09/2023;19:00:00;27.3;84.40%;;6.703;0;;
25/09/2023;19:15:00;27.06;85.20%;;0;0;;
25/09/2023;19:30:00;26.91;86.50%;;0;0;;
25/09/2023;19:45:00;26.64;87.70%;;0;0;;
25/09/2023;20:00:00;26.39;88.40%;;0;0;;
25/09/2023;20:15:00;26.23;89.40%;;0;0;;
25/09/2023;20:30:00;26.1;90.80%;;0;0;;
25/09/2023;20:45:00;25.98;91%;;0;0;;
25/09/2023;21:00:00;25.87;91.10%;;0;0;;
25/09/2023;21:15:00;25.79;91.20%;;0;0;;
25/09/2023;21:30:00;25.67;91.70%;;0;0;;
25/09/2023;21:45:00;25.59;92%;;0;0;;
25/09/2023;22:00:00;25.52;92.10%;;0;0;;
25/09/2023;22:15:00;25.43;92.40%;;0;0;;
25/09/2023;22:30:00;25.32;93.30%;;0;0;;
25/09/2023;22:45:00;25.25;93.20%;;0;0;;
25/09/2023;23:00:00;25.15;93.70%;;0;0;;
25/09/2023;23:15:00;25.09;93.70%;;0;0;;
25/09/2023;23:30:00;25.1;93.40%;;0;0;;
25/09/2023;23:45:00;25.03;93.50%;;0;0;;
26/09/2023;00:00:00;25.09;93.60%;;0;0;;
26/09/2023;00:15:00;25.06;93.40%;;0;0;;
26/09/2023;00:30:00;25.03;93.60%;;0;0;;
26/09/2023;00:45:00;24.96;94.20%;;0;0;;
26/09/2023;01:00:00;24.9;94%;;0;0;;
26/09/2023;01:15:00;24.97;95%;;0;0;;
26/09/2023;01:30:00;25.02;95.20%;;0;0;;
26/09/2023;01:45:00;25.01;94.90%;;0;0;;
26/09/2023;02:00:00;24.84;94.10%;;0;0.023;;
26/09/2023;02:15:00;24.52;93.50%;;0;0.959;;
26/09/2023;02:30:00;24.36;93.60%;;0;0;;
26/09/2023;02:45:00;24.33;93.70%;;0;0;;
26/09/2023;03:00:00;24.33;93.70%;;0;0;;
26/09/2023;03:15:00;24.34;93.60%;;0;0;;
26/09/2023;03:30:00;24.45;93.90%;;0;0;;
26/09/2023;03:45:00;24.46;93.80%;;0;0;;
26/09/2023;04:00:00;24.42;93.30%;;0;0;;
26/09/2023;04:15:00;24.34;93.30%;;0;0;;
26/09/2023;04:30:00;24.41;93.50%;;0;0;;
26/09/2023;04:45:00;24.38;93.60%;;0;0;;
26/09/2023;05:00:00;24.33;93.20%;;0;0;;
26/09/2023;05:15:00;24.27;93.50%;;0;0;;
26/09/2023;05:30:00;24.24;93.50%;;0;0;;
26/09/2023;05:45:00;24.24;93.60%;;0;0;;
26/09/2023;06:00:00;24.25;93.40%;;0;0;;
26/09/2023;06:15:00;24.27;93.50%;;0;0;;
26/09/2023;06:30:00;24.24;93.30%;;0;0;;
26/09/2023;06:45:00;24.22;93%;;0;0;;
26/09/2023;07:00:00;24.13;92.90%;;0;0;;
26/09/2023;07:15:00;24.21;93.10%;;0;0;;
26/09/2023;07:30:00;24.25;93.20%;;0;0;;
26/09/2023;07:45:00;24.29;93.40%;;0;0;;
26/09/2023;08:00:00;24.34;93.60%;;13.41;0;;
26/09/2023;08:15:00;24.47;93.50%;;13.41;0;;
26/09/2023;08:30:00;24.56;93.20%;;13.41;0;;
26/09/2023;08:45:00;24.66;93.10%;;13.41;0;;
26/09/2023;09:00:00;24.72;93.10%;;20.12;0;;
26/09/2023;09:15:00;24.89;93.50%;;33.53;0;;
26/09/2023;09:30:00;25.06;92.50%;;33.53;0;;
26/09/2023;09:45:00;25.06;91.60%;;33.53;0.003;;
26/09/2023;10:00:00;25.2;91.60%;;46.94;0.005;;
