;unit;old_unit;Treatment;Genotype;G..Alias;Replicates;maxET;slope.maxET-6;slope.07-maxET;slope.00-07;slope.19-23:45;curvmaxET;total.auc;auc.10-15;sd.10-15;auc.prop.10-15;auc.07-19;sd.07-19;auc.prop.07-19;auc.night;cos.sim.index
423;160:05:01;160:05:01;WW_R2;Exp60_216_IS23988;Exp60_216_IS23988;2;7.294597219;2.64E-06;9.10E-06;-6.17E-06;4.75E-06;5.059065467;0.02625417;0.004260784;0.000107176;0.162289788;0.010770751;0.000152059;0.410249158;0.015483419;0.483437545
424;160:05:02;160:05:02;WW_R2;Exp60_246_IS27791;Exp60_246_IS27791;2;2.855865775;1.06E-05;4.50E-05;5.31E-05;-2.13E-05;-8.035598633;0.1136932;0.042199028;0.000366615;0.371165803;0.083076837;0.000716415;0.730710691;0.030616363;0.673095833
425;160:06:01;160:06:01;WW_R2;Exp60_291_IS32234;Exp60_291_IS32234;2;925.8416206;1.76E-05;0;5.18E-07;2.35E-06;7.259202607;0.013467497;0.000175055;1.23E-05;0.012998335;0.002490541;5.63E-05;0.184929779;0.010976956;0.11429117
426;160:06:02;160:06:02;WW_R2;Exp60_64_IS7889;Exp60_64_IS7889;2;258.5356874;0.046000132;0.001271387;-0.000667008;0.018256197;4.364760694;1.003431246;-0.017059423;0.000606228;-0.017001088;-0.035923979;0.009576354;-0.035801136;1.039355224;0.002597849
427;160:07:01;160:07:01;WW_R2;Exp60_170_IS20749;Exp60_170_IS20749;2;78.72496993;0;0;-1.45E-06;2.30E-06;8.492809066;0.001508685;-2.06E-05;5.96E-07;-0.013636755;0.000119138;6.17E-06;0.078968456;0.001389546;0.022759931
428;160:07:02;160:07:02;WW_R2;Exp60_260_IS29691;Exp60_260_IS29691;2;3290.201503;0;0;-3.16E-05;9.61E-06;4.269085305;0.012017915;-0.000262511;8.37E-06;-0.021843287;0.00294345;0.000114607;0.244921828;0.009074465;0.038927967
429;160:08:01;160:08:01;WW_R2;Exp60_241_IS27164;Exp60_241_IS27164;2;919.8819156;0.001952297;0.000463651;-0.000504728;0.002342154;7.820851782;0.533829369;-0.003118429;9.85E-05;-0.005841622;-0.067325153;0.002132748;-0.126117364;0.601154521;-0.05439338
430;160:08:02;160:08:02;WW_R2;Exp60_101_IS13926;Exp60_101_IS13926;2;14.50677896;4.97E-05;1.04E-05;-2.03E-05;4.80E-05;8.286319834;0.014708032;0.000577042;3.20E-05;0.039233125;0.001233885;3.44E-05;0.083891938;0.013474147;0.072954628
431;160:09:01;160:09:01;WW_R2;Exp60_56_IS6351;Exp60_56_IS6351;2;6.383132582;0;0;-8.21E-05;1.72E-05;7.288492964;0.022581123;-4.51E-05;3.16E-06;-0.00199765;-0.00053695;3.80E-05;-0.023778715;0.023118073;-0.002409562
432;160:09:02;160:09:02;WW_R2;Exp60_319_SSM29;Exp60_319_SSM29;2;6.370115544;7.72E-06;1.77E-05;1.50E-06;1.99E-05;5.38164884;0.021287006;-0.001123745;5.26E-05;-0.052790185;0.00286219;0.000195827;0.134457147;0.018424816;0.009712067
