unit;old_unit;Experiment;Treatment;Species;Genotype;G..Alias;Replicates;Genotype_Trt;;;;10/10/2023 09:56;10/10/2023 14:34;11/10/2023 12:28;11/10/2023 14:28;12/10/2023 10:32;12/10/2023 14:38;13/10/2023 10:02;13/10/2023 14:33;17/10/2023 15:13;18/10/2023 08:30;18/10/2023 14:48;19/10/2023 07:55;19/10/2023 14:38;20/10/2023 10:51;21/10/2023 08:13;21/10/2023 15:21
30:11:01;30:11:01;Exp60;WW_R2;Sorghum;Exp60_225_IS24940;Exp60_225_IS24940;2;Exp60_225_IS24940_WW_R2;10/10/2023 08:41;112645;;;;;;;;;;;;;;;;;
30:11:02;30:11:02;Exp60;WW_R2;Sorghum;Exp60_119_IS14963;Exp60_119_IS14963;2;Exp60_119_IS14963_WW_R2;10/10/2023 08:41;75844.1;;;;;;;;;;;;;;;;;
30:12:01;30:12:01;Exp60;WW_R2;Sorghum;Exp60_313_SSM19;Exp60_313_SSM19;2;Exp60_313_SSM19_WW_R2;10/10/2023 08:41;127627;;;;;;;;;;;;;;;;;
30:12:02;30:12:02;Exp60;WW_R2;Sorghum;Exp60_179_IS21425;Exp60_179_IS21425;2;Exp60_179_IS21425_WW_R2;10/10/2023 08:41;96742;;;;;;;;;;;;;;;;;
31:01:01;31:01:01;Exp60;WW_R2;Sorghum;Exp60_316_SSM249;Exp60_316_SSM249;2;Exp60_316_SSM249_WW_R2;10/10/2023 08:42;73629.3;;;;;;;;;;;;;;;;;
31:01:02;31:01:02;Exp60;WW_R2;Sorghum;Exp60_152_IS19847;Exp60_152_IS19847;2;Exp60_152_IS19847_WW_R2;10/10/2023 08:42;109127;;;;;;;;;;;;;;;;;
31:02:01;31:02:01;Exp60;WW_R2;Sorghum;Exp60_257_IS29569;Exp60_257_IS29569;2;Exp60_257_IS29569_WW_R2;10/10/2023 08:42;68435.7;;;;;;;;;;;;;;;;;
31:02:02;31:02:02;Exp60;WW_R2;Sorghum;Exp60_318_SSM276;Exp60_318_SSM276;2;Exp60_318_SSM276_WW_R2;10/10/2023 08:42;116008;;;;;;;;;;;;;;;;;
31:03:01;31:03:01;Exp60;WW_R2;Sorghum;Exp60_47_IS4963;Exp60_47_IS4963;2;Exp60_47_IS4963_WW_R2;10/10/2023 08:42;76210;;;;;;;;;;;;;;;;;
31:03:02;31:03:02;Exp60;WW_R2;Sorghum;Exp60_311_SSM1370;Exp60_311_SSM1370;2;Exp60_311_SSM1370_WW_R2;10/10/2023 08:42;91441.1;;;;;;;;;;;;;;;;;
31:04:01;31:04:01;Exp60;WW_R2;Sorghum;Exp60_89_IS11119;Exp60_89_IS11119;2;Exp60_89_IS11119_WW_R2;10/10/2023 08:42;67669.3;;;;;;;;;;;;;;;;;
31:04:02;31:04:02;Exp60;WW_R2;Sorghum;Exp60_194_IS22334;Exp60_194_IS22334;2;Exp60_194_IS22334_WW_R2;10/10/2023 08:42;53461.4;;;;;;;;;;;;;;;;;
31:05:01;31:05:01;Exp60;WW_R2;Sorghum;Exp60_98_IS13791;Exp60_98_IS13791;2;Exp60_98_IS13791_WW_R2;10/10/2023 08:42;79353.8;;;;;;;;;;;;;;;;;
31:05:02;31:05:02;Exp60;WW_R2;Sorghum;Exp60_208_IS23574;Exp60_208_IS23574;2;Exp60_208_IS23574_WW_R2;10/10/2023 08:42;69042.9;;;;;;;;;;;;;;;;;
31:06:01;31:06:01;Exp60;WW_R2;Sorghum;Exp60_142_IS18919;Exp60_142_IS18919;2;Exp60_142_IS18919_WW_R2;10/10/2023 08:42;66687.8;;;;;;;;;;;;;;;;;
31:06:02;31:06:02;Exp60;WW_R2;Sorghum;Exp60_38_IS3957;Exp60_38_IS3957;2;Exp60_38_IS3957_WW_R2;10/10/2023 08:42;95456.4;;;;;;;;;;;;;;;;;
31:07:01;31:07:01;Exp60;WW_R2;Sorghum;Exp60_94_IS12531;Exp60_94_IS12531;2;Exp60_94_IS12531_WW_R2;10/10/2023 08:42;89604.6;;;;;;;;;;;;;;;;;
31:07:02;31:07:02;Exp60;WW_R2;Sorghum;Exp60_36_IS3885;Exp60_36_IS3885;2;Exp60_36_IS3885_WW_R2;10/10/2023 08:42;107043;;;;;;;;;;;;;;;;;
31:08:01;31:08:01;Exp60;WW_R2;Sorghum;Exp60_219_IS24083;Exp60_219_IS24083;2;Exp60_219_IS24083_WW_R2;10/10/2023 08:42;120359;;;;;;;;;;;;;;;;;
31:08:02;31:08:02;Exp60;WW_R2;Sorghum;Exp60_95_IS12804;Exp60_95_IS12804;2;Exp60_95_IS12804_WW_R2;10/10/2023 08:42;104724;;;;;;;;;;;;;;;;;
31:09:01;31:09:01;Exp60;WW_R2;Sorghum;Exp60_11_IS2262;Exp60_11_IS2262;2;Exp60_11_IS2262_WW_R2;10/10/2023 08:42;137928;;;;;;;;;;;;;;;;;
31:09:02;31:09:02;Exp60;WW_R2;Sorghum;Exp60_310_SSM1284;Exp60_310_SSM1284;2;Exp60_310_SSM1284_WW_R2;10/10/2023 08:42;126896;;;;;;;;;;;;;;;;;
31:10:01;31:10:01;Exp60;WW_R2;Sorghum;Exp60_46_IS4821;Exp60_46_IS4821;2;Exp60_46_IS4821_WW_R2;10/10/2023 08:42;102767;;;;;;;;;;;;;;;;;
31:10:02;31:10:02;Exp60;WW_R2;Sorghum;Exp60_158_IS20351;Exp60_158_IS20351;2;Exp60_158_IS20351_WW_R2;10/10/2023 08:42;72882.8;;;;;;;;;;;;;;;;;
31:11:01;31:11:01;Exp60;WW_R2;Sorghum;Exp60_108_IS14317;Exp60_108_IS14317;2;Exp60_108_IS14317_WW_R2;10/10/2023 08:42;70215.9;;;;;;;;;;;;;;;;;
31:11:02;31:11:02;Exp60;WW_R2;Sorghum;Exp60_272_IS30443;Exp60_272_IS30443;2;Exp60_272_IS30443_WW_R2;10/10/2023 08:42;58839.9;;;;;;;;;;;;;;;;;
31:12:01;31:12:01;Exp60;WW_R2;Sorghum;Exp60_276_IS30748;Exp60_276_IS30748;2;Exp60_276_IS30748_WW_R2;10/10/2023 08:42;81600.6;;;;;;;;;;;;;;;;;
31:12:02;31:12:02;Exp60;WW_R2;Sorghum;Exp60_153_IS19953;Exp60_153_IS19953;2;Exp60_153_IS19953_WW_R2;10/10/2023 08:42;64942;;;;;;;;;;;;;;;;;
32:01:01;32:01:01;Exp60;WW_R2;Sorghum;Exp60_20_IS2807;Exp60_20_IS2807;2;Exp60_20_IS2807_WW_R2;10/10/2023 08:43;87198.3;;;;;;;;;;;;;;;;;
32:01:02;32:01:02;Exp60;WW_R2;Sorghum;Exp60_40_IS4027;Exp60_40_IS4027;2;Exp60_40_IS4027_WW_R2;10/10/2023 08:43;96887.2;;;;;;;;;;;;;;;;;
32:02:01;32:02:01;Exp60;WW_R2;Sorghum;Exp60_307_SSM1102;Exp60_307_SSM1102;2;Exp60_307_SSM1102_WW_R2;10/10/2023 08:43;101586;;;;;;;;;;;;;;;;;
32:02:02;32:02:02;Exp60;WW_R2;Sorghum;Exp60_37_IS3905;Exp60_37_IS3905;2;Exp60_37_IS3905_WW_R2;10/10/2023 08:43;126554;;;;;;;;;;;;;;;;;
32:03:01;32:03:01;Exp60;WW_R2;Sorghum;Exp60_52_IS5910;Exp60_52_IS5910;2;Exp60_52_IS5910_WW_R2;10/10/2023 08:43;87054.2;;;;;;;;;;;;;;;;;
32:03:02;32:03:02;Exp60;WW_R2;Sorghum;Exp60_180_IS21519;Exp60_180_IS21519;2;Exp60_180_IS21519_WW_R2;10/10/2023 08:43;118210;;;;;;;;;;;;;;;;;
32:04:01;32:04:01;Exp60;WW_R2;Sorghum;Exp60_79_IS9883;Exp60_79_IS9883;2;Exp60_79_IS9883_WW_R2;10/10/2023 08:43;76300.1;;;;;;;;;;;;;;;;;
32:04:02;32:04:02;Exp60;WW_R2;Sorghum;Exp60_185_IS22040;Exp60_185_IS22040;2;Exp60_185_IS22040_WW_R2;10/10/2023 08:43;116785;;;;;;;;;;;;;;;;;
32:05:01;32:05:01;Exp60;WW_R2;Sorghum;Exp60_96_IS12931;Exp60_96_IS12931;2;Exp60_96_IS12931_WW_R2;10/10/2023 08:43;133941;;;;;;;;;;;;;;;;;
32:05:02;32:05:02;Exp60;WW_R2;Sorghum;Exp60_61_Phule Chitra;Exp60_61_Phule Chitra;2;Exp60_61_Phule Chitra_WW_R2;10/10/2023 08:43;92149.8;;;;;;;;;;;;;;;;;
32:06:01;32:06:01;Exp60;WW_R2;Sorghum;Exp60_126_IS16044;Exp60_126_IS16044;2;Exp60_126_IS16044_WW_R2;10/10/2023 08:43;108457;;;;;;;;;;;;;;;;;
32:06:02;32:06:02;Exp60;WW_R2;Sorghum;Exp60_281_IS31202;Exp60_281_IS31202;2;Exp60_281_IS31202_WW_R2;10/10/2023 08:43;129506;;;;;;;;;;;;;;;;;
32:07:01;32:07:01;Exp60;WW_R2;Sorghum;Exp60_154_IS20016;Exp60_154_IS20016;2;Exp60_154_IS20016_WW_R2;10/10/2023 08:43;146035;;;;;;;;;;;;;;;;;
32:07:02;32:07:02;Exp60;WW_R2;Sorghum;Exp60_167_IS20724;Exp60_167_IS20724;2;Exp60_167_IS20724_WW_R2;10/10/2023 08:43;104212;;;;;;;;;;;;;;;;;
32:08:01;32:08:01;Exp60;WW_R2;Sorghum;Exp60_18_IS2730;Exp60_18_IS2730;2;Exp60_18_IS2730_WW_R2;10/10/2023 08:43;90729.4;;;;;;;;;;;;;;;;;
32:08:02;32:08:02;Exp60;WW_R2;Sorghum;Exp60_10_IS2221;Exp60_10_IS2221;2;Exp60_10_IS2221_WW_R2;10/10/2023 08:43;78578.7;;;;;;;;;;;;;;;;;
32:09:01;32:09:01;Exp60;WW_R2;Sorghum;Exp60_132_IS17593;Exp60_132_IS17593;2;Exp60_132_IS17593_WW_R2;10/10/2023 08:43;120675;;;;;;;;;;;;;;;;;
32:09:02;32:09:02;Exp60;WW_R2;Sorghum;Exp60_183_IS21854;Exp60_183_IS21854;2;Exp60_183_IS21854_WW_R2;10/10/2023 08:43;42910.3;;;;;;;;;;;;;;;;;
32:10:01;32:10:01;Exp60;WW_R2;Sorghum;Exp60_99_IS13827;Exp60_99_IS13827;2;Exp60_99_IS13827_WW_R2;10/10/2023 08:43;129454;;;;;;;;;;;;;;;;;
32:10:02;32:10:02;Exp60;WW_R2;Sorghum;Exp60_102_IS13989;Exp60_102_IS13989;2;Exp60_102_IS13989_WW_R2;10/10/2023 08:43;102582;;;;;;;;;;;;;;;;;
32:11:01;32:11:01;Exp60;WW_R2;Sorghum;Exp60_145_IS19041;Exp60_145_IS19041;2;Exp60_145_IS19041_WW_R2;10/10/2023 08:43;48088.7;;;;;;;;;;;;;;;;;
32:11:02;32:11:02;Exp60;WW_R2;Sorghum;Exp60_302_IS41724;Exp60_302_IS41724;2;Exp60_302_IS41724_WW_R2;10/10/2023 08:43;117136;;;;;;;;;;;;;;;;;
32:12:01;32:12:01;Exp60;WW_R2;Sorghum;Exp60_127_IS16125;Exp60_127_IS16125;2;Exp60_127_IS16125_WW_R2;10/10/2023 08:43;118473;;;;;;;;;;;;;;;;;
32:12:02;32:12:02;Exp60;WW_R2;Sorghum;Exp60_274_IS30503;Exp60_274_IS30503;2;Exp60_274_IS30503_WW_R2;10/10/2023 08:43;123010;;;;;;;;;;;;;;;;;
33:01:01;33:01:01;Exp60;WW_R2;Sorghum;Exp60_112_IS14446;Exp60_112_IS14446;2;Exp60_112_IS14446_WW_R2;10/10/2023 08:44;101391;;;;;;;;;;;;;;;;;
33:01:02;33:01:02;Exp60;WW_R2;Sorghum;Exp60_227_IS25055;Exp60_227_IS25055;2;Exp60_227_IS25055_WW_R2;10/10/2023 08:44;79639.2;;;;;;;;;;;;;;;;;
